Location Type,Name,Address,City,State,Zip,Phone,Latitude,Longitude
AMBEST Travel Center,360 Truck Stop,US Hwy 360,Amelia Court House,VA,23002,(804) 561-4719,37.357869,-77.87461
AMBEST Travel Center,76th Street Truck Plaza,US Hwy 131,Byron Center,MI,49315,(616) 455-3600,42.82578,-85.67471
AMBEST Fuel Stop,7-Eleven - Allentown Plaza #7087,I-476 / PA TNPK [N & S] MM 55,Wescosville,PA,18106,(610) 398-7086,40.574249,-75.5584
AMBEST Fuel Stop,7-Eleven - Andrews,US 385 at CR 1910,Andrews,TX,79714,(432) 524-9189,32.306719,-102.54315
AMBEST Fuel Stop,7-Eleven - Ballinger,US Hwy 67 at Baker Street,Ballinger,TX,76821,(325) 365-2876,31.727419,-99.9572
AMBEST Fuel Stop,7-Eleven - Bay City #40974,TX 35 at Bayou Drive / 5620 7th Street (Hwy 35),Bay City,TX,77414,(979) 244-4737,28.99068,-95.92569
AMBEST Fuel Stop,7-Eleven - Bedford #40275,I-76 WB MM150,Bedford,PA,15522,(814) 623-6203,40.02964,-78.492429
AMBEST Fuel Stop,7-Eleven - Beeville #40800,1620 FM 351 E,Beeville,TX,78102,(361) 354-5459,28.42929,-97.742239
AMBEST Fuel Stop,7-Eleven - Big Lake 50,US 67 at TX 137 / 50 W 2nd St,Big Lake,TX,76932,(325) 884-3092,31.191199,-101.46647
AMBEST Fuel Stop,7-Eleven - Big Lake 91,US HWY 67,Big Lake,TX,76932,(325) 884-2641,31.19226,-101.46675
AMBEST Fuel Stop,7-Eleven - Blanco #40574,1138 US Hwy 281 S,Blanco,TX,78606,(830) 833-5874,30.08406,-98.41772
AMBEST Fuel Stop,7-Eleven - Blue Heron Plaza #7753,6164 CR 165,Genoa,OH,43430,(419) 855-7230,41.49132,-83.368899
AMBEST Fuel Stop,7-Eleven - Blue Mountain Plaza #7081,I-76 24 Miles West of Exit 226,Newburg,PA,17240,(717) 423-5482,40.16568,-77.59783
AMBEST Fuel Stop,7-Eleven - Bowmansville Plaza #7092,I-76E MM 290,Bowmansville,PA,17507,(717) 445-9791,40.20221,-76.01518
AMBEST Fuel Stop,7-Eleven - Brady,US Hwy 87 / US Hwy 190,Brady,TX,76825,(325) 597-0200,31.11485,-99.33499
AMBEST Fuel Stop,7-Eleven - Brady's Leap Plaza #7762,9250 Limeridge Rd,Mantua,OH,44255,(330) 298-1596,41.2426,-81.17673
AMBEST Fuel Stop,7-Eleven - Bronte,US-277 / SH-158,Bronte,TX,76933,(325) 473-6601,31.886649,-100.291569
AMBEST Fuel Stop,7-Eleven - Brownsville #40729,2305 FM 511,Brownsville,TX,78520,(956) 831-3178,25.93954,-97.408029
AMBEST Fuel Stop,7-Eleven - Brownwood,US 377 / CR 2376,Brownwood,TX,76801,(325) 646-7209,31.6872,-99.000399
AMBEST Fuel Stop,7-Eleven - Burnet #40547,US 281 / 2501 S Water,Burnet,TX,78611,(512) 756-2521,30.73852,-98.23456
AMBEST Fuel Stop,7-Eleven - Carrizo Spring #40532,US 83 at US 277 / 101 S 1st St,Carrizo Springs,TX,78834,(830) 876-3359,28.520579,-99.856899
AMBEST Fuel Stop,7-Eleven - Cisco,I-20 Exit 330,Cisco,TX,76437,(432) 684-4533,32.37599,-99.00296
AMBEST Express,7-Eleven - Colorado City,I-20 Exit 217,Colorado City,TX,79512,(325) 728-9494,32.409829,-100.84325
AMBEST Fuel Stop,7-Eleven - Comanche,US-67,Comanche,TX,76442,(325) 356-2422,31.897849,-98.61381
AMBEST Fuel Stop,7-Eleven - Combes #40705,I-69E at TX 107 - 21469 Hwy 77 Exp,Combes,TX,78552,(956) 412-1304,26.24784,-97.725679
AMBEST Fuel Stop,7-Eleven - Commodore Perry Plaza #7756,888 N County Rd,Clyde,OH,43410,(419) 547-8585,41.367809,-82.957599
AMBEST Fuel Stop,7-Eleven - Corpus Christi #5216,TX 358 / 601 S Padre Island Dr,Corpus Christi,TX,78405,(361) 814-8206,27.755009,-97.46056
AMBEST Express,7-Eleven - Cotulla #40535,I-35 Exit 68 at Bus. 35,Cotulla,TX,78014,(830) 879-5354,28.451339,-99.238889
AMBEST Fuel Stop,7-Eleven - Cuero #40885,US Hwy 183 / 4200 N Esplanade,Cuero,TX,77954,(361) 275-8200,29.13101,-97.27701
AMBEST Fuel Stop,7-Eleven - Cumberland Valley Plaza #7082,13 Burgners Mill Rd,Plainfield,PA,17015,(717) 258-4397,40.20535,-77.28695
AMBEST Fuel Stop,7-Eleven - Dayton #41014,US 90 at TX 146 / 811 Hwy 90,Dayton,TX,77535,(936) 258-6967,30.04072,-94.894369
AMBEST Fuel Stop,7-Eleven - Del Rio #40530,TX 239 at Las Vacas St / 2200 Spur 239,Del Rio,TX,78840,(830) 774-1881,29.34673,-100.91647
AMBEST Fuel Stop,7-Eleven - Denver City,SH-83 / SH-214,Denver City,TX,79323,(806) 592-7113,32.9626,-102.81832
AMBEST Fuel Stop,7-Eleven - Eagle Pass #40537,TX 480 at CR 1021 / 4377 FM 201,Eagle Pass,TX,78852,(830) 773-3939,28.67059,-100.45437
AMBEST Fuel Stop,7-Eleven - El Campo #40977,US 59 FM 1162 at TX 71 / 1710 S Mechanic St,El Campo,TX,77437,(979) 543-7701,29.178979,-96.26187
AMBEST Fuel Stop,7-Eleven - Erie Islands Plaza #7755,1012 N County Rd,Clyde,OH,43410,(419) 547-6355,41.369199,-82.957689
AMBEST Fuel Stop,7-Eleven - Ernie Pyle Plaza #2773,Indiana Toll Road (I-80/I-90) MM 126 WB,Howe,IN,46746,(260) 562-2870,41.7462,-85.32738
AMBEST Fuel Stop,7-Eleven - Falfurrias #40813,500 E Rice St,Falfurrias,TX,78355,(361) 325-1337,27.225729,-98.1401
AMBEST Fuel Stop,7-Eleven - Falfurrias #40815,US Hwy 281 at TX 285 / 112 N Hwy 281,Falfurrias,TX,78335,(361) 325-2560,27.22645,-98.13996
AMBEST Express,7-Eleven - Fort Stockton,I-10 Exit 257 (North Hwy 285),Fort Stockton,TX,79735,(432) 336-8861,30.9023,-102.912499
AMBEST Fuel Stop,7-Eleven - Freer #40911,100 W Riley,Freer,TX,78357,(361) 394-6610,27.88294,-98.61824
AMBEST Fuel Stop,7-Eleven - Gene S Porter Plaza #2772,Indiana Toll Road (I-80/I-90) MM 126 EB,Howe,IN,46746,(260) 562-2676,41.74573,-85.33024
AMBEST Fuel Stop,7-Eleven - George Ade #2778,I-80/I-90 Exit 23,Portage,IN,46368,(219) 762-4882,41.58767,-87.218699
AMBEST Fuel Stop,7-Eleven - George Craig Plaza #2774,Indiana Toll Road (I-80/I-90) MM 90 EB,Elkhart,IN,46514,(574) 266-4080,41.731699,-86.00636
AMBEST Fuel Stop,7-Eleven - George West#40809,I-37 Exit 56,George West,TX,78022,(361) 449-2214,28.33802,-98.029179
AMBEST Fuel Stop,7-Eleven - George West#40811,I-37 Exit 56 at US Hwy 59,George West,TX,78022,(361) 449-3766,28.33942,-98.025689
AMBEST Fuel Stop,7-Eleven - Glacier Hill Plaza #7764,I-76E Exit 235,New Springfield,OH,44443,(330) 542-9615,40.93858,-80.58587
AMBEST Fuel Stop,7-Eleven - Great Lakes Plaza #7759,2000 Edgerton Rd,Broadview Heights,OH,44147,(440) 717-9530,41.292619,-81.6723
AMBEST Fuel Stop,7-Eleven - Haskell,US-380 / US-277,Haskelle,TX,79521,(940) 864-3434,33.157089,-99.726749
AMBEST Fuel Stop,7-Eleven - Hebbronville #40892,611 N Smith Avenue,Hebbronville,TX,78361,(361) 527-5584,27.311879,-98.67879
AMBEST Fuel Stop,7-Eleven - Henry Schricker Plaza #2775,Indiana Toll Road (I-80/I-90) MM 90 WB,Elkhart,IN,46514,(574) 266-4503,41.73255,-86.003929
AMBEST Fuel Stop,7-Eleven - Hereford,US 60 at Progressive/2901 East 1st St,Hereford,TX,79045,(806) 363-1030,34.829639,-102.36997
AMBEST Fuel Stop,7-Eleven - Hickory Run Plaza #7088,I-476 at MM 86,Jim Thorpe,PA,18229,(570) 325-2673,40.97063,-75.631349
AMBEST Fuel Stop,7-Eleven - Highspire Plaza #7090,I-76E Exit 250,Middletown,PA,17057,(717) 944-9266,40.20976,-76.742549
AMBEST Fuel Stop,7-Eleven - Hobbs,US Hwy 62,Hobbs,NM,88240,(575) 393-4467,32.696199,-103.17908
AMBEST Fuel Stop,7-Eleven - Houston #40961,I-45 Exit 63,Houston,TX,77090,(281) 209-0918,29.9812,-95.4213
AMBEST Fuel Stop,7-Eleven - Houston #40980,I-10 Exit 778A,Houston,TX,77015,(713) 451-5212,29.763839,-95.21423
AMBEST Fuel Stop,7-Eleven - Houston #40983,US 90 at Sheldon Rd / 9735 Sheldon Rd,Houston,TX,77049,(281) 456-0147,29.856359,-95.12829
AMBEST Fuel Stop,7-Eleven - Indian Meadow Plaza #7749,I-80/90 OH TNPK WB MM 21,West Unity,OH,43570,(419) 924-2383,41.60511,-84.40889
AMBEST Fuel Stop,7-Eleven - Jamesburg #7704,I-95/NJ TPK Exit 8A,Jamesburg,NJ,8831,(732) 521-5387,40.371609,-74.458929
AMBEST Fuel Stop,7-Eleven - JT McCutcheon #2779,I-80/I-90 Exit 22,Portage,IN,46368,(219) 762-3641,41.58796,-87.215289
AMBEST Fuel Stop,7-Eleven - Karnes City #40801,1905 S US Hwy 181,Karnes City,TX,78118,(830) 780-2854,28.86495,-97.894729
AMBEST Fuel Stop,7-Eleven - King of Prussia Plaza #7084,I-276  at MM 328 WB  (PATP),King of Purssia,PA,19406,(610) 265-2144,40.089939,-75.37106
AMBEST Fuel Stop,7-Eleven - Knute Rockne #2777,Indiana Toll Road (I-80/I-90) MM 56 EB,Rolling Prairie,IN,46371,(219) 778-8085,41.705199,-86.62304
AMBEST Fuel Stop,7-Eleven - Lamesa,US Hwy 87 / US Hwy 180,Lamesa,TX,79331,(214) 840-5513,32.73659,-101.94942
AMBEST Fuel Stop,7-Eleven - Lampasas #40544,US 183 / 801 N Key Ave,Lampasas,TX,76550,(512) 564-1459,31.07471,-98.18514
AMBEST Fuel Stop,7-Eleven - Laredo #40915,14118 FM 1472,Laredo,TX,78045,(956) 718-2088,27.63004,-99.529489
AMBEST Fuel Stop,7-Eleven - Lawn Plaza #7091,Bachmanville Rd @ PA Turnpike,Hershey,PA,17033,(717) 367-9336,40.2081,-76.57508
AMBEST Fuel Stop,7-Eleven - Liberty #41015,US 90 at TX 146 / 2130 Hwy 146 Bypass,Liberty,TX,77575,(936) 336-4004,30.07853,-94.77303
AMBEST Express,7-Eleven - Littlefield,US Hwy 84 / US Hwy 385,Littlefield,TX,79339,(806) 385-7522,33.902729,-102.32673
AMBEST Fuel Stop,7-Eleven - Llano,SH-71 / SH-16,Llano,TX,78643,(325) 247-1010,30.736999,-98.674319
AMBEST Fuel Stop,7-Eleven - Los Indios #40780,US 281 at CR 509 - 702 E US Hwy 281,Los Indios,TX,78567,(956) 399-7483,26.050439,-97.73572
AMBEST Fuel Stop,7-Eleven - Mahoning Valley Plaza #7763,I-76W Exit 235,New Springfield,OH,44443,(330) 542-9650,40.94044,-80.587509
AMBEST Fuel Stop,7-Eleven - Maxwell #40587,TX 21 at CR 150 / 7809 Camino Real - FM 150,Maxwell,TX,78640,(512) 357-4048,29.93484,-97.819419
AMBEST Fuel Stop,7-Eleven - Mcallen #40673,CR 216 - 4712 Military Hwy,McAllen,TX,78503,(956) 928-0433,26.15518,-98.28154
AMBEST Fuel Stop,7-Eleven - Middle Ridge Plaza #7757,Rt. 58 46402 Middle Ridge Rd,Amherst,OH,44001,(440) 984-3995,41.379359,-82.223979
AMBEST Fuel Stop,7-Eleven - Midland 11200,SH-349 / SH-191,Midland,TX,79764,(432) 381-7780,31.85629,-102.50162
AMBEST Fuel Stop,7-Eleven - Midland 2109,I-20 Exit 134,Midland,TX,79701,(432) 684-4533,31.967099,-102.10767
AMBEST Fuel Stop,7-Eleven - Midland 3200,I-20 Exit 138,Midland,TX,79702,(432) 684-7338,31.981339,-102.03556
AMBEST Fuel Stop,7-Eleven - Midland 3201,I-20 Exit 138,Midland,TX,79702,(432) 683-8132,31.9827,-102.0367
AMBEST Fuel Stop,7-Eleven - Mission #40628,I-2 - 2107 Hwy 83,Mission,TX,78574,(956) 519-1593,26.21555,-98.34963
AMBEST Fuel Stop,7-Eleven - Monahans,I-20 Exit 80,Monahans,TX,79756,(432) 943-6621,31.57289,-102.89288
AMBEST Fuel Stop,7-Eleven - Muncy #7263,I-180  Exit 15  at US 220,Muncy,PA,17756,(570) 940-0140,41.2376,-76.81252
AMBEST Fuel Stop,7-Eleven - New Stanton Plaza #7089,734 New Stanton Plaza Rd,Hunker,PA,15639,(724) 925-1908,40.20644,-79.566839
AMBEST Fuel Stop,7-Eleven - Newark #40122,I-95 MM2,Newark,DE,19702,(302) 266-0230,39.6629,-75.690259
AMBEST Fuel Stop,7-Eleven - Nixon #40802,US Hwy 87 at TX80 / 210 E Central Ave,Nixon,TX,78140,(830) 582-1154,29.2681,-97.7629
AMBEST Fuel Stop,7-Eleven - North Somerset Plaza #7077,169 North Plaza Access Rd,Somerset,PA,15501,(814) 444-1746,40.000369,-79.04513
AMBEST Fuel Stop,7-Eleven - Oakmont Plaza #7095,I-76  at MM 49 EB (PATP),Verona,PA,15147,(412) 828-3702,40.52089,-79.81346
AMBEST Fuel Stop,7-Eleven - Odem #40812,800 Voss Ave,Odem,TX,78370,(361) 368-2387,27.94715,-97.584639
AMBEST Fuel Stop,7-Eleven - Odessa 10510,W 42nd Street,Odessa,TX,79764,(432) 381-7780,31.85648,-102.50212
AMBEST Fuel Stop,7-Eleven - Odessa 1350,I-20 Exit 115,Odessa,TX,79763,(432) 332-3392,31.82002,-102.38318
AMBEST Fuel Stop,7-Eleven - Odessa 4020,SH-338 / SH-450,Odessa,TX,79764,(432) 366-1413,31.87498,-102.41808
AMBEST Fuel Stop,7-Eleven - Olmito #40736,I-69E at TX 550 - 7900 Hwy 77,Olmito,TX,78575,(956) 350-3902,26.02746,-97.53144
AMBEST Fuel Stop,7-Eleven - Orange Grove #40819,104 S Reynolds,Orange Grove,TX,78372,(361) 384-2722,27.95651,-97.937299
AMBEST Fuel Stop,7-Eleven - Palatka #2572,2600 Reid St,Palatka,FL,32177,(386) 328-0043,29.65509,-81.65652
AMBEST Fuel Stop,7-Eleven - Palm Bay #2573,1180 Malabar Rd,Palm Bay,FL,32907,(321) 951-3333,27.998149,-80.63231
AMBEST Fuel Stop,7-Eleven - Palmview #40598,US 83 - 2005 Palma Vista Dr,Palmview,TX,78572,(956) 585-1804,26.2358,-98.3926
AMBEST Fuel Stop,7-Eleven - Palmview #40604,US 83 - 806 E Palma Vista Dr,Palmview,TX,78572,(956) 580-2469,26.234999,-98.37921
AMBEST Express,7-Eleven - Pecos 2203,I-20 Exit 42,Pecos,TX,79772,(432) 445-1581,31.40443,-103.48518
AMBEST Fuel Stop,7-Eleven - Pecos 2612,I-20 Exit 39,Pecos,TX,79772,(432) 684-4533,31.39772,-103.52133
AMBEST Fuel Stop,7-Eleven - Peter J Camiel Plaza #7093,I-76W MM 305,Elverson,PA,19520,(610) 286-8836,40.1223,-75.776799
AMBEST Fuel Stop,7-Eleven - Pharr #40624,US 83 - 809 N Cage,Pharr,TX,78577,(956) 787-8631,26.20412,-98.18303
AMBEST Fuel Stop,7-Eleven - Pharr #40665,US 281 - 10701 S Cage Blvd,Pharr,TX,78577,(956) 702-9919,26.0929,-98.200029
AMBEST Fuel Stop,7-Eleven - Pharr #40675,CR 2061 at CR 3072 - 7401 S Jackson Rd,Pharr,TX,78577,(956) 843-2335,26.125229,-98.2159
AMBEST Fuel Stop,7-Eleven - Portage Plaza #7761,9270 Limeridge Rd,Mantua,OH,44255,(330) 298-1582,41.24447,-81.176929
AMBEST Fuel Stop,7-Eleven - Ralls,US Hwy 82,Ralls,TX,79357,(806) 253-0118,33.673909,-101.38232
AMBEST Fuel Stop,7-Eleven - Refugio #40810,108 North Alamo St,Refugio,TX,78377,(361) 526-2251,28.305779,-97.274619
AMBEST Fuel Stop,7-Eleven - Rio Grande #40596,US 83 at CR 3167 - 2798 W Hwy 83,Rio Grande City,TX,78582,(956) 487-1429,26.370909,-98.860309
AMBEST Fuel Stop,7-Eleven - Rio Grande #40601,US 83 at CR 2360 - 7276 E Hwy 83,Alto Bonito,TX,78582,(956) 716-6160,26.30592,-98.640469
AMBEST Fuel Stop,7-Eleven - Riviera #40814,6240 South Hwy 77,Riviera,TX,78379,(361) 296-3818,27.303699,-97.81555
AMBEST Fuel Stop,7-Eleven - San Angelo 1606,US 277 at Bell / 1606 LaFollette,San Angelo,TX,76905,(325) 655-0397,31.477,-100.41345
AMBEST Fuel Stop,7-Eleven - San Angelo 3925,US Hwy 87 at Ben Ficklin,San Angelo,TX,76903,(325) 655-1613,31.41993,-100.441239
AMBEST Fuel Stop,7-Eleven - San Antonio #40522,I-10 Exit 550,San Antonio,TX,78257,(210) 698-3634,29.677389,-98.635459
AMBEST Fuel Stop,7-Eleven - San Benito #40735,I-69E at TX486 - 2500 W Exp 83 (Williams & Hwy 77),San Benito,TX,78586,(956) 361-1400,26.141459,-97.65513
AMBEST Fuel Stop,7-Eleven - Santo,I-20 Exit 386 / US Hwy 281,Santo,TX,76472,(940) 769-2434,32.60739,-98.1114
AMBEST Fuel Stop,7-Eleven - Sideling Hill Plaza #7080,3744 North Hess Rd,Waterfall,PA,16689,(717) 485-3226,40.059089,-78.081249
AMBEST Fuel Stop,7-Eleven - South Midway Plaza #7078,I-76E Exit 150,Bedford,PA,15522,(814) 623-1740,40.03126,-78.493009
AMBEST Fuel Stop,7-Eleven - South Somerset Plaza #7076,328 Industrial Park Rd,Somerset,PA,15501,(814) 445-4925,39.998779,-79.045969
AMBEST Fuel Stop,7-Eleven - Stanton,I-20 Exit 156 at TX 137/1308 N Lamesa Hwy,Stanton,TX,79782,(432) 756-2115,32.13747,-101.80464
AMBEST Fuel Stop,7-Eleven - Sterling City,US 87 at TX 163 / 1001 4th Ave,Sterling City,TX,76951,(325) 378-2042,31.83606,-100.99472
AMBEST Fuel Stop,7-Eleven - Tatum,US 380 at NM 206,Tatum,NM,88267,(469) 525-0010,33.256059,-103.3169
AMBEST Fuel Stop,7-Eleven - Texico,US Hwy 84 / US Hwy 60,Texico,NM,88135,(575) 482-9313,34.38806,-103.04588
AMBEST Fuel Stop,7-Eleven - Tiffin River Plaza #7750,I-80/90 OH TNPK EB MM 21,Tiffin River,OH,43570,(419) 924-9149,41.60358,-84.406639
AMBEST Fuel Stop,7-Eleven - Towpath Plaza #7760,10037 Broadview Rd,Broadview Heights,OH,44147,(440) 717-9658,41.29144,-81.674769
AMBEST Fuel Stop,7-Eleven - Uvalde #40519,US 190/2815 E Main St,Uvalde,TX,78801,(830) 278-3458,29.22983,-99.75524
AMBEST Fuel Stop,7-Eleven - Vermillion Valley Plaza #7758,Rt. 58 7998 S Leavitt Rd,Amherst,OH,44001,(440) 986-5225,41.377809,-82.22351
AMBEST Fuel Stop,7-Eleven - Victoria #40883,US 59 at TX185 / 3204 S Laurent St,Victoria,TX,77901,(361) 579-0087,28.767769,-96.977249
AMBEST Fuel Stop,7-Eleven - Waco #40558,TX 6 at CR 185 / 8256 N State Hwy 6,Waco,TX,76712,(254) 848-2726,31.58146,-97.30341
AMBEST Fuel Stop,7-Eleven - Wayne #40287,I-76 at MM 380,Wayne,PA,19087,(610) 687-9964,40.083179,-75.43939
AMBEST Fuel Stop,7-Eleven - Wilbur Shaw Plaza #2776,Indiana Toll Road (I-80/I-90) MM 56 WB,Rolling Prairie,IN,46371,(219) 778-8146,41.707769,-86.62138
AMBEST Fuel Stop,7-Eleven - Wyandot Plaza #7754,6410 CR 165,Geona,OH,43430,(419) 855-4175,41.489289,-83.36835
AMBEST Express,7-Eleven #35115,I-90 Exit 42 Rt 14 MM 340,Phelps,NY,14532,(315) 781-1464,42.95092,-76.97656
AMBEST Fuel Stop,A C & T Big Pool Exxon,I-70 Exit 12,Big Pool,MD,21711,(301) 842-3289,39.628019,-78.01833
AMBEST Fuel Stop,A C & T Falling Waters Exxon,I-81 Exit 23,Falling Waters,WV,25419,(304) 274-1312,39.57667,-77.8777
AMBEST Fuel Stop,A C & T Garland Groh,I-81 Exit 7B,Hagerstown,MD,21741,(301) 582-5494,39.66476,-77.743799
AMBEST Fuel Stop,A C & T Sharpsburg Pike Exxon,I-70 Exit 29,Hagerstown,MD,21740,(301) 797-0302,39.608849,-77.729749
AMBEST Travel Center,A C & T Travel Center,I-81 Exit 5B,Hagerstown,MD,21740,(301) 582-2702,39.63132,-77.784689
AMBEST Travel Center,A One Stop,103 SW I-45 SERVICE RD,ENNIS,TX,75119,(972) 875-3975,32.285989,-96.545559
AMBEST Travel Center,Abbott's Travel Center,I-35 Exit 359,Abbott,TX,76621,(254) 575-3127,31.89898,-97.0913
AMBEST Express,Abbyland Truck Stop,Hwy 29 at Exit 127,Curtiss,WI,54422,(715) 223-6666,44.94614,-90.43164
AMBEST Express,Ainsworth Four Corners,US 218-US 27 EXIT 66,AINSWORTH,IA,52201,(319) 657-3200,41.292,-91.535749
AMBEST Fuel Stop,Allsups #2132-Carrizozo,US Hwy 54,Carrizozo,NM,88301,(575) 648-2574,33.64678,-105.871399
AMBEST Fuel Stop,Allsups #2370-Clarendon,US Hwy 287,Clarendon,TX,79226,(806) 874-0187,34.941989,-100.8968
AMBEST Fuel Stop,Allsups #2377-Alamogordo,US Hwy 70,Alamogordo,NM,88310,(575) 437-2867,32.86791,-105.97968
AMBEST Travel Center,Allsup's #2387 - Guymon,Hwy 54 at US Hwy 54 & 64,Guymon,OK,73942,(865) 242-7616,36.688479,-101.46637
AMBEST Fuel Stop,Allsups #2390-Merkel,I-20 Exit 270,Merkel,TX,79536,(325) 928-5584,32.46802,-99.984319
AMBEST Fuel Stop,Allsups #2391-Merkel,I-20 Exit 269,Merkel,TX,79536,(325) 928-1505,32.47692,-100.01209
AMBEST Fuel Stop,Allsups #2392-Roswell,US Hwy 285,Roswell,NM,88201,(575) 623-9930,33.462389,-104.52369
AMBEST Fuel Stop,Allsups #2415-Meridian,Hwy 6,Meridian,TX,76665,(254) 435-2366,31.916899,-97.66477
AMBEST Fuel Stop,Almeda Swift Truck Stop,13740 Almeda Road,Houston,TX,77053,(832) 834-6590,29.606819,-95.42264
AMBEST Travel Center,Alta Convenience,I-70 Exit 19,Fruita,CO,81521,(760) 677-2475,39.154319,-108.73941
AMBEST Fuel Stop,Amigo's Country Corner,I-35 Exit 122,Devine,TX,78016,(830) 663-5170,29.12931,-98.89524
AMBEST Travel Center,Amigo's Flatonia,I-10 Exit 661,Flatonia,TX,78941,(281) 337-4067,29.69847,-97.09959
AMBEST Fuel Stop,Applegreen-Barrington,State Route 125,Barrington,NH,3825,(603) 905-9052,43.21358,-70.99487
AMBEST Travel Center,Arrowhead Travel Plaza,I-84 Exit 216,Pendleton,OR,97801,(541) 276-8080,45.643419,-118.6825
AMBEST Express,Ayerco 32,1700 Oak St,Canton,MO,63435,(573) 288-0378,40.123739,-91.538719
AMBEST Fuel Stop,Ayerco 35,18048 Hwy 161 S,Bowling Green,MO,63334,(573) 324-3006,39.33211,-91.178489
AMBEST Fuel Stop,Ayerco 44,7233 Hwy 36,Palmyra,MO,63461,(573) 248-0006,39.692019,-91.50915
AMBEST Travel Center,Bell's Silvercreek Junction,I-80 Exit 146,Park City,UT,84068,(435) 649-9243,40.73402,-111.4987
AMBEST Travel Center,Beltway 8 Travel Plaza,1104 N. SAM HOUSTON PKWY E.,Houston,TX,77032,(832) 230-5927,29.93813,-95.37245
AMBEST Travel Center,Bert's Travel Plaza,I-35 Exit 198,Wellsville,KS,66092,(785) 816-7006,38.707909,-95.074269
AMBEST Travel Center,Big Apple Travel Center,I-44/I-49 Exit 13,Joplin,MO,64804,(417) 768-3030,37.06707,-94.40551
AMBEST Travel Center,Big Charlie's Truck Plaza,I-64 Exit 282,Virginia Beach,VA,23455,(757) 460-2032,36.88308,-76.185879
AMBEST Travel Center,Black Mesa Travel Center,I-25 Exit 252,San Felipe Pueblo,NM,87001,(505) 867-4706,35.416589,-106.402379
AMBEST Express,Bodega #7,I-59N,Livingston,TX,77351,(936) 933-5976,30.5122,-94.51164
AMBEST Travel Center,Bordertown Travel Plaza,I-10 East exit 4,Vinton,LA,70668,(337) 313-5085,30.14729,-93.63472
AMBEST Express,Break Time #3147-Sikeston,I-55 Exit 67,Sikeston,MO,63801,(573) 471-2630,36.89316,-89.529399
AMBEST Travel Center,Break Time #3163 - Moberly,US Hwy 63,Moberly,MO,65270,(660) 372-1880,39.39448,-92.41101
AMBEST Travel Center,Break Time #3165 - Warrensburg,US Hwy 50,Warrensburg,MO,64930,(660) 429-0173,38.77926,-93.68384
AMBEST Travel Center,Break Time #3167 - Sedalia,US Hwy 65,Sedalia,MO,65301,(660) 851-0839,38.73736,-93.22551
AMBEST Express,Break Time #3170-Bolivar,Highway 13,Bolivar,MO,65613,(417) 326-0072,37.59819,-93.43544
